UF,ref_city,ref_prefix_i,ref_prefix_f,ref_latitude,ref_longiitude,ref_state
ba,bom jesus da lapa,47600,47609,"-13,25411437","-43,41714164",bahia
ba,bom jesus da serra,45258,45259,"-14,37292229","-40,50117633",bahia
ba,boninal,46740,46749,"-12,71512079","-41,82432848",bahia
ba,bonito,46820,46824,"-11,9695725","-41,26840279",bahia
ba,boquira,46530,46539,"-12,82082283","-42,7301154",bahia
ba,boquira,46530,46534,"-12,82082283","-42,7301154",bahia
ba,botupora,46570,46574,"-13,38086621","-42,52927756",bahia
ba,brejoes,45325,45329,"-13,10553648","-39,79349159",bahia
ba,brejolandia,47750,47759,"-12,48669334","-43,96566459",bahia
ba,brotas de macaubas,47560,47579,"-12,00263554","-42,62469129",bahia
ba,brumado,46100,46126,"-14,20543824","-41,6670695",bahia
ba,brumado,46100,46120,"-14,20543824","-41,6670695",bahia
ba,buerarema,45615,45619,"-14,95644084","-39,30251961",bahia
ba,buritirama,47120,47149,"-10,71179147","-43,6313809",bahia
ba,caatiba,45130,45139,"-14,97855064","-40,41027248",bahia
ba,cabaceiras do paraguacu,44345,44349,"-12,53713579","-39,18671309",bahia
ba,cachoeira,44300,44319,"-12,5962108","-38,96939807",bahia
ba,cacule,46300,46309,"-14,5042062","-42,2214141",bahia
ba,caem,44730,44739,"-11,09309152","-40,43731194",bahia
ba,caetanos,45256,45257,"-14,33856297","-40,90928964",bahia
ba,caetite,46400,46424,"-14,06675432","-42,48571145",bahia
ba,cafarnaum,44880,44884,"-11,69135622","-41,47222151",bahia
ba,cafarnaum,44880,44882,"-11,69135622","-41,47222151",bahia
ba,cairu,45420,45429,"-13,4876034","-39,04325436",bahia
ba,caldeirao grande,44750,44754,"-11,02215578","-40,30737036",bahia
ba,camacan,45880,45889,"-15,41762685","-39,49636733",bahia
ba,camacari,42800,42849,"-12,69881676","-38,32574006",bahia
ba,camamu,45445,45449,"-13,94707634","-39,10056972",bahia
ba,campo alegre de lourdes,47220,47239,"-9,517154114","-43,01229844",bahia
ba,campo formoso,44790,44797,"-10,50566155","-40,31882099",bahia
ba,inhambupe,48490,48499,"-11,78912746","-38,35401927",bahia
ba,ipecaeta,44680,44689,"-12,31419931","-39,30602564",bahia
ba,ipiau,45570,45579,"-14,13747367","-39,73565418",bahia
ba,ipira,44600,44609,"-12,16028688","-39,74070848",bahia
ba,ipupiara,47590,47599,"-11,8288274","-42,61068885",bahia
ba,irajuba,45370,45374,"-13,25661015","-40,0838518",bahia
ba,iramaia,46770,46779,"-13,29365119","-40,96958248",bahia
ba,iraquara,46980,46989,"-12,24350102","-41,61795886",bahia
ba,irara,44255,44259,"-12,03370396","-38,77165078",bahia
ba,irece,44860,44879,"-11,30337962","-41,85886048",bahia
ba,irece,44860,44876,"-11,30337962","-41,85886048",bahia
ba,itabela,45848,45849,"-16,57583606","-39,55323778",bahia
ba,itaberaba,46880,46899,"-12,53225409","-40,30699492",bahia
ba,itabuna,45600,45614,"-14,78903955","-39,27310895",bahia
ba,itacare,45530,45539,"-14,27824929","-38,99484155",bahia
ba,itaete,46790,46799,"-12,98203399","-40,96341877",bahia
ba,itagi,45230,45239,"-14,16179372","-40,01362499",bahia
ba,itagiba,45585,45589,"-14,28651417","-39,84851556",bahia
ba,itagimirim,45850,45854,"-16,08814328","-39,61519181",bahia
ba,itaguacu da bahia,47440,47449,"-11,00872221","-42,40115712",bahia
ba,itaju do colonia,45730,45739,"-15,14019355","-39,72472461",bahia
ba,itajuipe,45630,45637,"-14,67801899","-39,38178815",bahia
ba,itamaraju,45836,45839,"-17,0423376","-39,53303988",bahia
ba,itamari,45455,45459,"-13,77483676","-39,67634835",bahia
ba,itambe,45140,45149,"-15,24801919","-40,62404172",bahia
ba,itanagra,48290,48299,"-12,26816314","-38,03818094",bahia
ba,itanhem,45970,45979,"-17,1663329","-40,32704865",bahia
ba,itaparica,44460,44469,"-12,88148905","-38,68403031",bahia
ba,itape,45750,45759,"-14,89480796","-39,42996273",bahia
ba,itapebi,45855,45859,"-15,97216666","-39,52854139",bahia
ba,itapetinga,45700,45709,"-15,24616719","-40,24738091",bahia
ba,itapicuru,48475,48479,"-11,3109527","-38,21861238",bahia
ba,itapitanga,45645,45649,"-14,42119474","-39,56636188",bahia
ba,itaquara,45340,45344,"-13,446409","-39,93824359",bahia
ba,itarantim,45780,45789,"-15,65783004","-40,06154527",bahia
ba,itatim,46875,46879,"-12,70924653","-39,70377461",bahia
ba,itirucu,45350,45354,"-13,53239861","-40,1461723",bahia
ba,itiuba,48850,48859,"-10,69190123","-39,85327697",bahia
ba,itororo,45710,45719,"-15,11903731","-40,07170334",bahia
ba,ituacu,46640,46649,"-13,80740715","-41,31098153",bahia
ba,itubera,45435,45435,"-13,73615691","-39,14904249",bahia
ba,iuiu,46438,46439,"-14,41214604","-43,55640262",bahia
ba,iuiu,46438,46438,"-14,41214604","-43,55640262",bahia
ba,jaborandi,47655,47664,"-13,625934","-44,46596999",bahia
ba,jacaraci,46310,46329,"-14,84919057","-42,43060877",bahia
ba,jacobina,44700,44709,"-11,18506216","-40,51301763",bahia
ba,jaguaquara,45345,45349,"-13,53069863","-39,97025518",bahia
ba,jaguarari,48960,48969,"-10,26285426","-40,19361147",bahia
ba,jaguaripe,44480,44489,"-13,11506389","-38,89141863",bahia
ba,jandaira,48310,48329,"-11,56574847","-37,78686849",bahia
ba,jequie,45200,45214,"-13,85566401","-40,08860733",bahia
ba,jequie,45200,45211,"-13,85566401","-40,08860733",bahia
ba,jeremoabo,48540,48564,"-10,06224241","-38,35181915",bahia
ba,jiquirica,45470,45479,"-13,25230635","-39,57650178",bahia
ba,jitauna,45225,45229,"-14,0174287","-39,88963218",bahia
ba,joao dourado,44920,44924,"-11,34640522","-41,65998918",bahia
ba,juazeiro,48900,48924,"-9,410717096","-40,50355216",bahia
ba,juazeiro,48900,48920,"-9,410717096","-40,50355216",bahia
ba,jucurucu,45834,45835,"-16,84451615","-40,15881263",bahia
ba,jussara,44925,44929,"-11,05455495","-41,97973193",bahia
ba,jussari,45622,45624,"-15,1904563","-39,49493987",bahia
ba,jussiape,46670,46689,"-13,51295034","-41,59014201",bahia
ba,lafaiete coutinho,45215,45219,"-13,65299942","-40,21060588",bahia
ba,lagoa real,46425,46429,"-14,03002899","-42,14571184",bahia
ba,laje,45490,45499,"-13,17964868","-39,42755215",bahia
ba,lajedao,45950,45954,"-17,61213094","-40,34584653",bahia
ba,lajedinho,46825,46829,"-12,36037419","-40,90370997",bahia
